127.0.0.1, 2019-07-06 17:43:02, GET, /coletaContador/appadmin/hooks, HTTP/1.1, 200, 2.050000
127.0.0.1, 2019-07-06 17:44:03, GET, /admin/default/todolist.load, HTTP/1.1, 200, 2.564000
127.0.0.1, 2019-07-06 17:44:03, GET, /coletaContador/appadmin/hooks, HTTP/1.1, 200, 2.917000
127.0.0.1, 2019-07-06 17:44:45, GET, /coletaContador/default/testes, HTTP/1.1, 500, 1.690000
127.0.0.1, 2019-07-06 17:44:45, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2019-07-06 17:44:48, GET, /admin/default/ticket/coletaContador/127.0.0.1.2019-07-06.17-44-43.2c08c3fc-ed5d-45ea-ad0a-175113f34d74, HTTP/1.1, 200, 0.534000
127.0.0.1, 2019-07-06 17:44:49, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2019-07-06 17:45:02, GET, /admin/default/todolist.load, HTTP/1.1, 200, 1.796000
127.0.0.1, 2019-07-06 17:45:03, GET, /coletaContador/appadmin/hooks, HTTP/1.1, 200, 2.593000
127.0.0.1, 2019-07-06 17:45:55, GET, /coletaContador/default/testes, HTTP/1.1, 500, 1.429000
127.0.0.1, 2019-07-06 17:45:55, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2019-07-06 17:45:58, GET, /admin/default/ticket/coletaContador/127.0.0.1.2019-07-06.17-45-53.153d094b-fc92-40b1-97ab-5deab1c0837b, HTTP/1.1, 200, 0.516000
127.0.0.1, 2019-07-06 17:45:58, GET, /favicon.ico, HTTP/1.1, 400, 0.002000
127.0.0.1, 2019-07-06 17:46:03, GET, /admin/default/todolist.load, HTTP/1.1, 200, 2.589000
127.0.0.1, 2019-07-06 17:46:03, GET, /coletaContador/appadmin/hooks, HTTP/1.1, 200, 3.036000
127.0.0.1, 2019-07-06 17:47:04, GET, /admin/default/todolist.load, HTTP/1.1, 200, 3.175000
127.0.0.1, 2019-07-06 17:47:07, GET, /coletaContador/appadmin/hooks, HTTP/1.1, 200, 6.337000
127.0.0.1, 2019-07-06 17:47:47, GET, /coletaContador/default/testes, HTTP/1.1, 500, 1.418000
127.0.0.1, 2019-07-06 17:47:47, GET, /favicon.ico, HTTP/1.1, 400, 0.002000
127.0.0.1, 2019-07-06 17:47:51, GET, /admin/default/ticket/coletaContador/127.0.0.1.2019-07-06.17-47-45.960f71da-3237-42ba-b79e-b8f390c7ee17, HTTP/1.1, 200, 0.580000
127.0.0.1, 2019-07-06 17:47:51, GET, /favicon.ico, HTTP/1.1, 400, 0.002000
127.0.0.1, 2019-07-06 17:48:03, GET, /admin/default/todolist.load, HTTP/1.1, 200, 2.442000
127.0.0.1, 2019-07-06 17:48:03, GET, /coletaContador/appadmin/hooks, HTTP/1.1, 200, 2.786000
127.0.0.1, 2019-07-06 17:49:03, GET, /admin/default/todolist.load, HTTP/1.1, 200, 2.509000
127.0.0.1, 2019-07-06 17:49:03, GET, /coletaContador/appadmin/hooks, HTTP/1.1, 200, 2.868000
127.0.0.1, 2019-07-06 17:49:11, GET, /coletaContador/default/testes, HTTP/1.1, 500, 1.752000
127.0.0.1, 2019-07-06 17:49:11, GET, /favicon.ico, HTTP/1.1, 400, 0.002000
127.0.0.1, 2019-07-06 17:49:13, GET, /admin/default/ticket/coletaContador/127.0.0.1.2019-07-06.17-49-09.d953e25a-6910-475d-86f7-811ea33be50b, HTTP/1.1, 200, 0.599000
127.0.0.1, 2019-07-06 17:49:13, GET, /favicon.ico, HTTP/1.1, 400, 0.002000
127.0.0.1, 2019-07-06 17:50:03, GET, /admin/default/todolist.load, HTTP/1.1, 200, 2.416000
127.0.0.1, 2019-07-06 17:50:03, GET, /coletaContador/appadmin/hooks, HTTP/1.1, 200, 2.762000
127.0.0.1, 2019-07-06 17:51:00, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.108000
127.0.0.1, 2019-07-06 17:51:01, GET, /coletaContador/appadmin/hooks, HTTP/1.1, 200, 0.576000
127.0.0.1, 2019-07-06 17:52:00, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.125000
127.0.0.1, 2019-07-06 17:52:01, GET, /coletaContador/appadmin/hooks, HTTP/1.1, 200, 0.895000
